NAME,TEAM,POS,P+R,P+A,P+R+A,VI,ORtg,DRtg,TS%,eFG%,USG%,TO%
Jusuf Nurkic,Pho,C,21.9,14.9,25.9,11.5,113.4,99.8,0.559,0.528,19.1,21.8
KJ Martin,Phi,F,5.9,4.6,6.8,6.3,113.0,103.9,0.569,0.564,13.2,14.9
Kaiser Gates,Nor,F,1.0,0.0,1.0,0.0,0.0,118.9,0.0,0.0,23.5,0.0
Karl-Anthony Towns,Min,F,30.1,24.8,33.1,10.0,115.0,100.6,0.625,0.576,27.4,15.7
Kawhi Leonard,Lac,F,29.8,27.3,33.4,9.4,124.4,113.5,0.626,0.585,26.5,9.3
Keegan Murray,Sac,F,20.7,16.9,22.4,6.2,116.4,110.9,0.569,0.548,18.1,6.2
Keita Bates-Diop,Pho,F,7.1,5.3,7.9,5.7,115.2,112.5,0.525,0.493,13.0,8.0
Keldon Johnson,San,F,21.2,18.5,24.0,8.4,112.4,113.0,0.565,0.527,21.9,10.4
Kelly Olynyk,Tor,F-C,18.3,17.3,22.9,10.4,117.5,106.3,0.644,0.598,20.0,22.9
Kelly Oubre Jr.,Phi,F-G,20.4,16.9,21.9,6.5,108.5,108.0,0.535,0.498,22.4,9.0
Kendall Brown,Ind,G,1.7,1.7,2.1,4.8,119.0,112.3,0.567,0.533,13.8,11.6
Kenneth Lofton Jr.,Uta,F,18.8,18.5,23.5,12.2,138.7,113.6,0.69,0.657,21.1,14.5
Kenrich Williams,Okc,G-F,7.7,6.1,9.1,7.1,119.9,105.8,0.568,0.568,13.4,10.2
Kentavious Caldwell-Pope,Den,G,12.5,12.5,14.9,4.9,118.7,112.2,0.602,0.566,12.9,11.3
Kenyon Martin Jr.,Lac,F,6.5,5.5,7.0,4.0,86.1,108.9,0.46,0.45,18.0,16.4
Keon Ellis,Sac,G,7.6,6.9,9.1,6.1,121.7,106.1,0.627,0.612,12.4,13.7
Keon Johnson,Bro,G,7.6,6.8,8.2,5.6,110.2,111.8,0.59,0.476,22.1,18.9
Kessler Edwards,Sac,F,2.5,2.0,2.8,5.8,115.3,108.8,0.541,0.537,14.0,4.6
Kevin Durant,Pho,F,33.7,32.1,38.7,10.4,117.8,112.8,0.626,0.581,29.0,14.5
Kevin Huerter,Sac,G,13.7,12.8,16.3,7.4,115.9,110.2,0.564,0.553,17.3,8.6
Kevin Knox II,Det,F,9.6,7.9,10.4,5.1,109.1,114.0,0.57,0.546,16.6,10.6
Kevin Love,Mia,F,15.0,10.9,17.1,11.5,120.8,99.8,0.597,0.557,21.9,11.8
Kevon Harris,Orl,G,3.0,2.5,3.5,12.9,0.0,0.0,0.667,0.667,28.7,25.0
Kevon Looney,Gol,C,10.2,6.3,12.0,8.9,131.5,102.3,0.62,0.597,11.3,17.6
Keyontae Johnson,Okc,F,2.3,1.7,2.8,4.4,78.4,111.4,0.344,0.344,13.1,20.0
Keyonte George,Uta,G,15.8,17.4,20.2,8.0,104.6,121.0,0.533,0.482,22.8,18.7
Khris Middleton,Mil,F,19.7,20.4,25.0,10.7,115.4,108.3,0.595,0.566,23.9,16.5
Killian Hayes,Det,G,9.7,11.8,14.6,7.6,106.4,114.7,0.474,0.452,15.1,15.3
Kira Lewis Jr.,Uta,G,4.8,5.3,6.3,7.4,112.7,122.3,0.512,0.475,17.5,12.9
Klay Thompson,Gol,F,21.2,20.1,23.4,6.9,112.5,114.9,0.576,0.551,24.2,9.4
Kobe Brown,Lac,F,3.4,2.6,4.0,5.3,109.9,106.4,0.49,0.489,11.1,9.1
Kobe Bufkin,Atl,G,6.7,6.4,8.3,8.5,95.1,111.4,0.424,0.418,22.4,9.8
Kobi Simmons,Tor,G,6.8,8.0,9.8,7.1,115.6,112.3,0.476,0.476,13.9,4.5
Kris Dunn,Uta,G,8.3,9.3,12.1,8.3,115.7,111.3,0.546,0.535,13.6,20.1
Kris Murray,Por,F,9.7,7.4,11.0,5.6,101.9,114.7,0.481,0.463,14.1,13.1
Kristaps Porzingis,Bos,C,27.3,22.1,29.3,8.9,127.5,104.0,0.647,0.589,25.1,10.6
Kyle Anderson,Min,F-G,9.9,10.6,14.1,8.0,114.4,105.2,0.513,0.472,14.5,17.4
Kyle Kuzma,Was,F,28.8,26.4,33.1,10.4,103.6,116.4,0.547,0.521,29.7,12.8
Kyle Lowry,Mia,G,11.6,12.2,15.6,6.9,115.8,105.7,0.582,0.554,13.4,17.7
Kyrie Irving,Dal,G,30.6,30.8,35.8,10.0,122.0,113.1,0.608,0.573,28.1,8.6
LaMelo Ball,Cha,G,29.0,31.9,37.0,12.3,110.4,110.0,0.561,0.515,34.3,16.4
Lamar Stevens,Mem,F,16.6,12.6,17.6,7.0,105.3,109.7,0.512,0.474,22.5,7.1
Landry Shamet,Was,G,8.5,8.3,9.6,5.6,107.6,114.8,0.556,0.527,18.8,9.9
Larry Nance Jr.,Nor,F-C,10.8,7.6,12.6,7.6,130.3,105.6,0.653,0.629,11.3,16.9
Lauri Markkanen,Uta,F,31.4,25.2,33.4,8.8,127.5,116.9,0.631,0.578,25.0,8.0
LeBron James,Lal,F,33.0,34.0,41.3,13.1,119.7,113.4,0.63,0.599,29.1,16.1
Leaky Black,Cha,F,4.5,3.6,5.4,6.0,124.3,116.2,0.589,0.567,10.1,10.3
Leonard Miller,Min,F,2.9,2.2,3.4,13.0,0.0,0.0,0.694,0.7,18.5,4.7
Lester Quinones,Gol,G,6.4,5.4,7.4,7.6,112.3,108.0,0.533,0.511,18.2,10.7
Lindell Wigginton,Mil,G,2.0,2.0,2.0,0.0,0.0,0.0,0.51,0.4,39.1,15.5
Lindy Waters III,Okc,F,4.7,4.2,5.3,7.2,128.3,109.5,0.653,0.649,17.3,6.3
Lonnie Walker IV,Bro,G-F,11.9,11.0,13.2,7.0,105.8,112.7,0.545,0.528,24.4,9.4
Luguentz Dort,Okc,F,14.5,12.3,15.9,5.4,116.8,107.4,0.593,0.557,15.4,10.1
Luka Doncic,Dal,G,43.1,43.7,52.9,15.5,121.9,109.9,0.617,0.573,36.0,14.6
Luka Garza,Min,C,5.2,4.1,5.4,8.1,116.8,92.4,0.576,0.54,33.4,7.4
Luka Samanic,Uta,F,6.5,4.6,6.9,6.7,97.1,114.6,0.485,0.421,21.8,15.0
Luke Kennard,Mem,G,13.9,14.5,17.4,7.5,121.3,116.5,0.641,0.617,16.7,14.6
Luke Kornet,Bos,C-F,9.4,6.4,10.5,7.4,155.5,106.8,0.736,0.702,11.0,9.4
Malachi Flynn,Det,G,9.8,10.1,11.9,8.7,104.1,115.0,0.528,0.503,26.0,14.0
Malaki Branham,San,F,11.2,11.3,13.3,6.3,100.8,116.7,0.526,0.506,19.8,12.8
Malcolm Brogdon,Por,G,19.5,21.2,25.0,9.6,119.7,117.4,0.56,0.522,23.0,10.8
Malcolm Cazalon,Det,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Beasley,Mil,G,14.9,12.6,16.3,5.2,116.9,112.8,0.603,0.598,14.6,7.0
Malik Monk,Sac,G,18.4,20.6,23.5,9.4,113.1,111.4,0.564,0.526,25.9,14.4
Malik Williams,Tor,C,8.1,3.0,8.4,4.3,78.3,104.8,0.272,0.279,15.2,8.1
Mamadi Diakite,San,F,5.0,4.7,5.7,10.6,167.1,115.8,0.785,0.8,20.2,0.0
Maozinha Pereira,Mem,F,12.1,7.1,12.4,5.1,116.2,106.3,0.609,0.586,15.7,12.4
MarJon Beauchamp,Mil,F,6.5,5.0,7.1,5.6,111.1,110.2,0.592,0.578,14.6,14.0
Marcus Morris Sr.,Phi,F,9.6,7.4,10.3,5.6,112.2,108.1,0.559,0.527,16.3,8.5
Marcus Sasser,Det,G,10.0,11.6,13.3,7.7,108.3,115.3,0.542,0.516,19.9,14.9
Marcus Smart,Mem,G,17.1,18.8,21.4,7.3,100.1,108.8,0.552,0.519,23.0,20.7
Mark Williams,Cha,C,22.4,13.9,23.6,7.9,137.3,110.1,0.675,0.649,17.1,10.1
Markelle Fultz,Orl,G,11.0,10.6,13.8,7.8,105.7,107.4,0.492,0.479,18.8,13.3
Markieff Morris,Dal,F,4.0,3.2,4.7,6.3,92.3,112.7,0.467,0.449,16.4,14.9
Markquis Nowell,Tor,G,4.0,4.0,6.0,22.9,0.0,0.0,0.532,0.0,22.9,0.0
Marques Bolden,Cha,C,7.7,4.6,8.1,5.5,135.1,113.8,0.691,0.68,11.1,10.6
Marvin Bagley III,Was,F,21.3,14.4,22.5,8.4,122.6,115.0,0.622,0.599,20.9,11.7
Mason Jones,Sac,G,2.4,2.4,3.4,8.1,92.9,106.6,0.394,0.375,16.8,19.6
Mason Plumlee,Lac,F-C,10.4,6.5,11.6,8.7,124.1,104.9,0.621,0.569,15.1,19.0
Matisse Thybulle,Por,F,7.5,6.8,8.9,4.4,110.5,114.0,0.537,0.524,10.6,11.2
Matt Hurt,Mem,F,6.0,4.5,6.5,4.5,103.8,113.7,0.453,0.426,14.2,5.5
Matt Ryan,Nor,F,6.9,6.1,7.5,4.8,113.5,110.2,0.638,0.615,15.4,14.3
Max Christie,Lal,G,6.4,5.1,7.3,5.7,105.0,112.5,0.544,0.515,13.5,12.7
Max Strus,Cle,F,17.0,16.2,21.1,7.7,111.8,108.8,0.553,0.533,17.4,13.3
Maxi Kleber,Dal,C,7.8,6.0,9.3,5.6,118.1,109.9,0.573,0.541,9.6,16.1
Maxwell Lewis,Lal,F,0.4,0.5,0.6,2.4,0.0,0.0,0.246,0.214,13.6,32.0
Micah Potter,Uta,C,6.0,3.7,6.4,5.3,121.5,115.0,0.609,0.588,10.9,11.0
Michael Porter Jr.,Den,F,23.7,18.2,25.2,7.1,117.0,110.7,0.601,0.586,20.7,7.9
Mikal Bridges,Bro,F,24.1,23.2,27.8,7.8,111.8,116.5,0.56,0.521,24.2,11.2
Mike Conley,Min,G,14.3,17.3,20.2,8.0,129.3,107.9,0.626,0.595,16.0,13.7
Mike Muscala,Was,F-C,7.1,4.9,8.0,6.6,100.3,114.4,0.481,0.444,14.3,15.0
Miles Bridges,Cha,F,28.3,24.3,31.7,8.5,108.5,117.9,0.556,0.527,24.7,10.2
Miles McBride,Nyk,G,9.7,9.9,11.4,5.7,126.2,109.6,0.59,0.572,16.4,6.2
Mitchell Robinson,Nyk,C,14.1,6.2,14.6,4.9,122.6,106.8,0.554,0.575,10.2,17.0
Mo Bamba,Phi,C,8.6,5.2,9.3,7.2,114.9,100.6,0.575,0.553,15.1,16.4
Monte Morris,Min,G,6.7,7.3,9.0,7.2,124.8,110.1,0.537,0.521,14.4,4.0
Moritz Wagner,Orl,F-C,15.2,12.1,16.4,8.7,125.7,102.2,0.677,0.637,22.8,15.0
Moses Brown,Por,C,7.3,3.7,7.6,7.0,101.5,103.5,0.477,0.508,19.1,14.4
Moses Moody,Gol,G,11.0,8.9,11.9,6.4,116.4,110.9,0.578,0.548,18.4,9.5
Mouhamadou Gueye,Tor,F,4.5,2.8,4.9,5.0,67.2,110.1,0.31,0.289,19.2,23.9
Mouhamed Gueye,Atl,F,7.7,4.7,8.3,7.2,118.1,100.3,0.468,0.413,15.2,4.1
Moussa Diabate,Lac,F,4.9,3.0,5.3,9.2,135.9,109.5,0.576,0.526,18.6,9.4
Myles Turner,Ind,C,24.0,18.4,25.3,7.9,119.7,109.7,0.626,0.587,23.4,10.7
Naji Marshall,Nor,F,10.7,9.0,12.6,7.7,114.4,108.0,0.576,0.542,16.3,15.0
Nassir Little,Pho,F-G,5.0,3.8,5.5,5.6,114.0,109.8,0.572,0.544,13.9,10.1
Nate Hinton,Hou,G-F,3.7,2.9,4.3,10.6,127.0,98.8,0.585,0.558,17.8,10.2
Nate Williams,Hou,G,3.9,3.2,4.2,6.5,117.7,110.7,0.565,0.56,19.6,7.4
Nathan Mensah,Cha,C,3.9,1.7,4.3,3.6,103.3,100.9,0.496,0.429,6.8,33.1
Naz Reid,Min,C-F,18.7,14.8,20.0,7.4,110.9,102.2,0.595,0.576,23.1,11.5
Neemias Queta,Bos,C,9.9,6.2,10.6,8.6,137.6,96.1,0.662,0.644,16.9,11.1
Nic Claxton,Bro,C,21.8,13.9,23.9,8.4,123.5,108.0,0.629,0.63,15.6,13.8
Nick Richards,Cha,C,17.8,10.5,18.6,6.0,133.8,111.1,0.717,0.691,13.3,16.2
Nick Smith Jr.,Cha,G,7.3,7.1,8.5,6.0,98.8,118.0,0.511,0.5,20.3,11.9
Nickeil Alexander-Walker,Min,F,10.0,10.5,12.5,5.8,115.3,106.9,0.578,0.56,14.8,12.4
Nicolas Batum,Phi,G-F,9.7,7.6,11.9,5.7,126.1,111.2,0.606,0.599,8.7,13.6
Nikola Jokic,Den,C,38.8,35.4,47.7,16.6,130.7,104.8,0.65,0.612,29.3,14.4
